taxonId,scientificName,taxonRank,family,genus,specificEpithet,speciesCitation,infraspecificEpithet,infraspecificCitation,comments
24,Tamarix gallica L.,species,,Tamarix,gallica,L.,,,
24,Tamarix smyrnensis Bunge,species,,Tamarix,smyrnensis,Bunge,,,
24,Myricaria germanica Desvaux.,species,,Myricaria,germanica,Desvaux.,,,
28,Limonium vulgare ssp. serotinum Reichenb.,subspecies,,Limonium,vulgare,,serotinum,Reichenb.,(=Statice gmelina Koch)
35,Limonium vulgare Miller.,species,,Limonium,vulgare,Miller.,,,
35,Limonium binervosum ssp. binervosum (G. E. Sm.) Salmon,subspecies,,Limonium,binervosum,,binervosum,(G. E. Sm.) Salmon,
37,Limonium,genus,,Limonium,,,,,
39,Limonium vulgare Miller,species,,Limonium,vulgare,Miller,,,
39,Limonium binervosum (G. E. Sm.) Salmon.,species,,Limonium,binervosum,(G. E. Sm.) Salmon.,,,
39,Limonium obtusifolium (Rouy) Erben,species,,Limonium,obtusifolium,(Rouy) Erben,,,
39,Limonium virgatum (Willd.) Fourr.,species,,Limonium,virgatum,(Willd.) Fourr.,,,
39,Limonium cordatum Miller,species,,Limonium,cordatum,Miller,,,
39,Limonium pectinatum (Aiton) O. Kuntze.,species,,Limonium,pectinatum,(Aiton) O. Kuntze.,,,
47,Salsola oppositifolia Desfontaines.,species,,Salsola,oppositifolia,Desfontaines.,,,
52,Atriplex portulacoides L.,species,,Atriplex,portulacoides,L.,,,
52,Euphorbia pithyusa L.,species,,Euphorbia,pithyusa,L.,,,
52,Frankenia,genus,,Frankenia,,,,,
58,Artemisia campestris L.,species,,Artemisia,campestris,L.,,,
58,Artemisia scoparia W.K.,species,,Artemisia,scoparia,W.K.,,,
58,Chenopodium fruticosum L.,species,,Chenopodium,fruticosum,L.,,,
58,Erica cinerea L.,species,,Erica,cinerea,L.,,,
58,Santolina chamaecyparissus L.,species,,Santolina,chamaecyparissus,L.,,,
63,Atriplex halimus L.,species,,Atriplex,halimus,L.,,,
63,Stachys glutinosa L.,species,,Stachys,glutinosa,L.,,,
63,Euphorbia spinosa L.,species,,Euphorbia,spinosa,L.,,,
66,Scabiosa candicans Jordan,species,,Scabiosa,candicans,Jordan,,,
66,Scabiosa pyrenaica All.,species,,Scabiosa,pyrenaica,All.,,,
66,Scleranthus,genus,,Scleranthus,,,,,
66,Limoniastrum monopetalum Boissier,species,,Limoniastrum,monopetalum,Boissier,,,
72,Frankenia,genus,,Frankenia,,,,,
72,Limonium minutum (L.) Fourr.,species,,Limonium,minutum,(L.) Fourr.,,,
80,Limonium gmelini (Willd.),species,,Limonium,gmelini,(Willd.),,,
86,Limonium eugeniae Sennen.,species,,Limonium,eugeniae,Sennen.,,,
92,Limoniastrum monopetalum Boissier.,species,,Limoniastrum,monopetalum,Boissier.,,,
98,Limonium vulgare Miller,species,,Limonium,vulgare,Miller,,,
98,Limonium ramoissimum ssp. confusum (Gren. & Godron),subspecies,,Limonium,ramoissimum,,confusum,(Gren. & Godron),
98,Limonium virgatum (Willd.) Fourr.,species,,Limonium,virgatum,(Willd.) Fourr.,,,
102,Frankenia ericifolia C. Sm. ex DC.,species,,Frankenia,ericifolia,C. Sm. ex DC.,,,
182,Limoniastrum guyonianum Dur. ex Boiss. in DC.,species,,Limoniastrum,guyonianum,Dur. ex Boiss. in DC.,,,
271,Ipomaea batatas L.,species,,Ipomaea,batatas,L.,,,
281,Ipomaea batates,species,,Ipomaea,batates,,,,
283,Argyreia,genus,,Argyreia,,,,,
283,Lantana,genus,,Lantana,,,,,
287,Ipomaea batatas Lam.,species,,Ipomaea,batatas,Lam.,,,
305,Merremia peltata,species,,Merremia,peltata,,,,
313,Ipomoea batatas,species,,Ipomoea,batatas,,,,
313,Argyreia speciosa,species,,Argyreia,speciosa,,,,
313,Lantana camara,species,,Lantana,camara,,,,
358,Vitis lanata Roxburgh,species,,Vitis,lanata,Roxburgh,,,
358,Vitis quadrangularis (L.) Wall.,species,,Vitis,quadrangularis,(L.) Wall.,,,
358,Vitis trifolia L.,species,,Vitis,trifolia,L.,,,
358,Vitis quinquangularis,species,,Vitis,quinquangularis,,,,
358,Columella trifolia,species,,Columella,trifolia,,,,
366,Vitis,genus,,Vitis,,,,,
380,Leea sambucine Willd.,species,,Leea,sambucine,Willd.,,,
385,Leea sambucina,species,,Leea,sambucina,,,,
391,Cissus quadrangularis,species,,Cissus,quadrangularis,,,,
393,Vitis thunbergii Sieb. & Zucc.,species,,Vitis,thunbergii,Sieb. & Zucc.,,,
393,Vitis vinifera L.,species,,Vitis,vinifera,L.,,,
393,Ampelopsis brevipedunculata Trautv.,species,,Ampelopsis,brevipedunculata,Trautv.,,,
408,Leea indica Merrill.,species,,Leea,indica,Merrill.,,,
431,Desmodium racemosum DC.,species,,Desmodium,racemosum,DC.,,,
469,Helichrysum arenarium L.,species,,Helichrysum,arenarium,L.,,,
469,Antennaria dioica L.,species,,Antennaria,dioica,L.,,,
475,Senecio vernalis W. & K.,species,,Senecio,vernalis,W. & K.,,,
475,Senecio viscosus L.,species,,Senecio,viscosus,L.,,,
475,Senecio cruentus DC.,species,,Senecio,cruentus,DC.,,,
475,Erigeron canadensis L.,species,,Erigeron,canadensis,L.,,,
475,Erigeron linifolius Willd.,species,,Erigeron,linifolius,Willd.,,,
475,Calendula arvensis L.,species,,Calendula,arvensis,L.,,,
475,Calendula officinalis L.,species,,Calendula,officinalis,L.,,,
475,Callistephus chinensis Nees,species,,Callistephus,chinensis,Nees,,,
475,Centaurea cyanusL,species,,Centaurea,cyanusL,,,,
475,Dahlia pinnata Cav.,species,,Dahlia,pinnata,Cav.,,,
475,Emilia flammea Cass.,species,,Emilia,flammea,Cass.,,,
475,Helichrysium bracteatum Willd.,species,,Helichrysium,bracteatum,Willd.,,,
475,Teucrium tomentosum,species,,Teucrium,tomentosum,,,,records from India
482,Senecio fuchsii Gmelin,species,,Senecio,fuchsii,Gmelin,,,
482,Senecio fluviatilis Wallr.,species,,Senecio,fluviatilis,Wallr.,,,
482,Senecio sarracenicus L.,species,,Senecio,sarracenicus,L.,,,
482,Senecio nemorensis L.,species,,Senecio,nemorensis,L.,,,
487,Tussilago farfarae L.,species,,Tussilago,farfarae,L.,,,
487,Petasites,genus,,Petasites,,,,,Probable
496,Solidago virgaurea L.,species,,Solidago,virgaurea,L.,,,
496,Senecio nemoï¿½rensis L.,species,,Senecio,nemoï¿½rensis,L.,,,
496,Senecio sylï¿½vaticus L.,species,,Senecio,sylï¿½vaticus,L.,,,
496,Doroniï¿½cum,genus,,Doroniï¿½cum,,,,,
496,Erigeron acer ssp. politus Fries,subspecies,,Erigeron,acer,,politus,Fries,
503,Senecio,genus,,Senecio,,,,,
506,Senecio,genus,,Senecio,,,,,
506,Senecio aquaticus Hudson,species,,Senecio,aquaticus,Hudson,,,
506,Senecio nemorensis L.,species,,Senecio,nemorensis,L.,,,
506,Senecio jacobeae L.,species,,Senecio,jacobeae,L.,,,
514,Anaphalis margaritacea Benth. & Hook.,species,,Anaphalis,margaritacea,Benth. & Hook.,,,Probable
523,Senecio nemorensis Linn.,species,,Senecio,nemorensis,Linn.,,,
540,Cacalia coccinea,species,,Cacalia,coccinea,,,,
563,Begonia,genus,,Begonia,,,,,
568,Parahebe perfoliata,species,,Parahebe,perfoliata,,,,
591,Helenium bigelovii,species,,Helenium,bigelovii,,,,
591,Erigeron,genus,,Erigeron,,,,,
595,Grindelia robusta,species,,Grindelia,robusta,,,,
595,Erigeron glaucus,species,,Erigeron,glaucus,,,,
595,Calendula,genus,,Calendula,,,,,
595,Achillae millefolium,species,,Achillae,millefolium,,,,
595,Chrysanthemum,genus,,Chrysanthemum,,,,,
595,Eriophyllum staechadifolium,species,,Eriophyllum,staechadifolium,,,,
595,Eriophyllum confertiflorum,species,,Eriophyllum,confertiflorum,,,,
595,Cynara scolymus,species,,Cynara,scolymus,,,,
595,Tanacetum camphoratum,species,,Tanacetum,camphoratum,,,,
595,Layia hieraciodes,species,,Layia,hieraciodes,,,,
595,Artemisia vulgaris,species,,Artemisia,vulgaris,,,,
595,Artemisia douglasiana,species,,Artemisia,douglasiana,,,,
595,Gnaphalium decurrens,species,,Gnaphalium,decurrens,,,,
595,Franseria bipinnatifida,species,,Franseria,bipinnatifida,,,,
595,Senecio aronicoides,species,,Senecio,aronicoides,,,,
595,Senecio blochmanae,species,,Senecio,blochmanae,,,,
595,Anaphalis margaritacea,species,,Anaphalis,margaritacea,,,,
603,Cirsium,genus,,Cirsium,,,,,
603,Cirsium lanceolatum,species,,Cirsium,lanceolatum,,,,(= vulgare (Sari))
603,Cirsium edule,species,,Cirsium,edule,,,,
603,Cirsium occidentale,species,,Cirsium,occidentale,,,,
603,Cirsium quercetorum,species,,Cirsium,quercetorum,,,,
603,Cirsium discolor,species,,Cirsium,discolor,,,,
603,Cirsium undulatum,species,,Cirsium,undulatum,,,,
603,Cirsium arvense,species,,Cirsium,arvense,,,,
603,Cirsium americanum,species,,Cirsium,americanum,,,,
603,Cynara scolymus L.,species,,Cynara,scolymus,L.,,,
603,Cynara cardunculus,species,,Cynara,cardunculus,,,,
603,Centaurea melitensis,species,,Centaurea,melitensis,,,,
603,Silybum marianum,species,,Silybum,marianum,,,,
616,Baccharis latofolia (Ruiz & Pav.) Pers.,species,Asteraceae,Baccharis,latofolia,(Ruiz & Pav.) Pers.,,,
639,Emilia citrina,species,,Emilia,citrina,,,,
639,Cosmos,genus,,Cosmos,,,,,
651,Calendula,genus,,Calendula,,,,,
651,Emilia citrina,species,,Emilia,citrina,,,,
728,Scabiosa ochroleuca L.,species,,Scabiosa,ochroleuca,L.,,,
752,Achillea ptarmica L.,species,,Achillea,ptarmica,L.,,,
752,Achillea millefolium L.,species,,Achillea,millefolium,L.,,,
752,Tanacetum vulgare L.,species,,Tanacetum,vulgare,L.,,,
765,Tanacetum vulgare L.,species,,Tanacetum,vulgare,L.,,,
778,Ageratum conyzoï¿½des,species,,Ageratum,conyzoï¿½des,,,,
778,Lantana,genus,,Lantana,,,,,
778,Salvia spathacea,species,,Salvia,spathacea,,,,
778,Salvia dorrii,species,,Salvia,dorrii,,,,
778,Salvia mellifera,species,,Salvia,mellifera,,,,
778,Salvia carnosa,species,,Salvia,carnosa,,,,
778,Salvia cultivar,species,,Salvia,cultivar,,,,
778,Agastache urticifolia,species,,Agastache,urticifolia,,,,
778,Scrophularia californica,species,,Scrophularia,californica,,,,
778,Mentha spicata,species,,Mentha,spicata,,,,
778,Sphacele calycina,species,,Sphacele,calycina,,,,
778,Pycnanthemum californicum,species,,Pycnanthemum,californicum,,,,
778,Monardella odoratissima,species,,Monardella,odoratissima,,,,
778,Monardella vollosa,species,,Monardella,vollosa,,,,
787,Lantana camera L.,species,,Lantana,camera,L.,,,
787,ï¿½,genus,,ï¿½,,L. peduncularis,,,
787,L. indica,species,,L.,indica,,,,
787,L. involucrata,species,,L.,involucrata,,,,
787,Lippia alba,species,,Lippia,alba,,,,
787,Phyla nodiflora (L.) Green,species,,Phyla,nodiflora,(L.) Green,,,
787,Phyla lanceolata,species,,Phyla,lanceolata,,,,
787,Caperonia palustris,species,,Caperonia,palustris,,,,
787,Mentha,genus,,Mentha,,,,,
787,Utricularia,genus,,Utricularia,,,,,
798,Spergulaï¿½ria media L.,species,,Spergulaï¿½ria,media,L.,,,(=S. marginata Kitt)ï¿½
798,Spergulaï¿½ria maritima,species,,Spergulaï¿½ria,maritima,,,,
798,Spergulaï¿½ria salina,species,,Spergulaï¿½ria,salina,,,,
798,Antirrhinum majus,species,,Antirrhinum,majus,,,,
798,Clinopodium vulï¿½gare L.,species,,Clinopodium,vulï¿½gare,L.,,,
798,Vacï¿½cinium,genus,,Vacï¿½cinium,,,,,
798,Campylanï¿½thus salsoloides Roth,species,,Campylanï¿½thus,salsoloides,Roth,,,
798,Centipeda minima O. Kuntze,species,,Centipeda,minima,O. Kuntze,,,
798,Plectranthus,genus,,Plectranthus,,,,,
798,Pentstemon,genus,,Pentstemon,,,,,
798,Mecardonia acuminata (Walt.) Small,species,,Mecardonia,acuminata,(Walt.) Small,,,
798,Phyla lanceolata,species,,Phyla,lanceolata,,,,
798,Celsia coromandeliana,species,,Celsia,coromandeliana,,,,
798,Limnophila heterophylla Benth.,species,,Limnophila,heterophylla,Benth.,,,
798,Limnophila sessiliflora,species,,Limnophila,sessiliflora,,,,
798,Veronica anagallis L.,species,,Veronica,anagallis,L.,,,
798,Russelia equistiformis Schlecht. & Cham.,species,,Russelia,equistiformis,Schlecht. & Cham.,,,
798,Hypoestes betsiliensis,species,,Hypoestes,betsiliensis,,,,
798,Ocimum,genus,,Ocimum,,,,,
798,Scutellaria discolor,species,,Scutellaria,discolor,,,,
798,Samolus,genus,,Samolus,,,,,
798,Striga asiatica,species,,Striga,asiatica,,,,
798,Striga densiflora,species,,Striga,densiflora,,,,
798,Sabatia,genus,,Sabatia,,,,,
798,Hydrolea,genus,,Hydrolea,,,,,
807,Coutoubea spicata,species,,Coutoubea,spicata,,,,
807,Capraria biflora,species,,Capraria,biflora,,,,
812,Mentha,genus,,Mentha,,,,,
840,Antirrhinum,genus,,Antirrhinum,,,,,
842,Geranium cariolinianum ssp. australe,subspecies,,Geranium,cariolinianum,,australe,,
842,Vaccinium penduliflorum,species,,Vaccinium,penduliflorum,,,,
842,Vaccinium reticulatum,species,,Vaccinium,reticulatum,,,,
868,Gentiana lutea L.,species,,Gentiana,lutea,L.,,,
868,Gentiana verna L.,species,,Gentiana,verna,L.,,,
868,Gentiana clusii Perr. & Song,species,,Gentiana,clusii,Perr. & Song,,,
868,Gentiana asclepiadea L.,species,,Gentiana,asclepiadea,L.,,,
868,Gentiana pneumonanthe L.,species,,Gentiana,pneumonanthe,L.,,,
870,Gentiana pneumonanthe L.,species,,Gentiana,pneumonanthe,L.,,,
870,Gentiana cruciata L.,species,,Gentiana,cruciata,L.,,,
874,Veronica chamaedrys L.,species,,Veronica,chamaedrys,L.,,,
883,Veronica longifolia L.,species,,Veronica,longifolia,L.,,,
888,Knautia arvensis L.,species,,Knautia,arvensis,L.,,,
888,Scabiosa columbaria L.,species,,Scabiosa,columbaria,L.,,,
888,Scabiosa pyrenaica Allioni,species,,Scabiosa,pyrenaica,Allioni,,,
888,Scabiosa arvensis L.,species,,Scabiosa,arvensis,L.,,,
888,Scabiosa lucida Villiers,species,,Scabiosa,lucida,Villiers,,,
888,Linaria vulgaris Miller,species,,Linaria,vulgaris,Miller,,,
888,Linaria cymbalaria Mill.,species,,Linaria,cymbalaria,Mill.,,,
888,Succisa pratensis Moench.,species,,Succisa,pratensis,Moench.,,,
888,Misopates oronï¿½tium L.,species,,Misopates,oronï¿½tium,L.,,,(=Antirrhinum)
888,Galium mollugo L.,species,,Galium,mollugo,L.,,,
888,Saxifraga granulata L.,species,,Saxifraga,granulata,L.,,,
888,Euphrasia,genus,,Euphrasia,,,,,
888,Scutellaria galericulata L.,species,,Scutellaria,galericulata,L.,,,
888,Gentiana asclepiadea L.,species,,Gentiana,asclepiadea,L.,,,
888,Coris monspeliensis L.,species,,Coris,monspeliensis,L.,,,
888,Globularia alypum L.,species,,Globularia,alypum,L.,,,
899,Succisa pratensis Moench,species,,Succisa,pratensis,Moench,,,
899,Erinus alpinus L.,species,,Erinus,alpinus,L.,,,
899,Linaria origanifolia DC.,species,,Linaria,origanifolia,DC.,,,
899,Antirrhinum orontium L.,species,,Antirrhinum,orontium,L.,,,
899,Coris monspeliensis L.,species,,Coris,monspeliensis,L.,,,
909,Scabiosa atropurpurea L.,species,,Scabiosa,atropurpurea,L.,,,
917,Scabiosa columbaria L.,species,,Scabiosa,columbaria,L.,,,
920,Saxifraga exarata Vill.,species,,Saxifraga,exarata,Vill.,,,
920,Saxifraga granulata L.,species,,Saxifraga,granulata,L.,,,
920,S. bryoides L.,species,,Saxifraga,bryoides,L.,,,
920,S. pedemontana All. ssp. cervicornis (Viv.),subspecies,,Saxifraga,pedemontana,All.,cervicornis,(Viv.),
920,S. moschata Wulfen,species,,Saxifraga,moschata,Wulfen,,,
920,S. nervosa Lapeyr.,species,,Saxifraga,nervosa,Lapeyr.,,,
920,S. prostii Sternb.,species,,Saxifraga,prostii,Sternb.,,,
920,S. aquatica Lapeyr.,species,,Saxifraga,aquatica,Lapeyr.,,,
920,S. geranioides L.,species,,Saxifraga,geranioides,L.,,,
920,Plantago sempervirens Crantz.,species,,Plantago,sempervirens,Crantz.,,,
920,Globularia,genus,,Globularia,,,,,
920,Gentiana verna L.,species,,Gentiana,verna,L.,,,
920,Gentiana acaulis L.,species,,Gentiana,acaulis,L.,,,(= G. kochiana Perr. & Song.)
934,Saxifraga continentalis Engler & Irmescher,species,,Saxifraga,continentalis,Engler & Irmescher,,,
934,Saxifraga granulata L.,species,,Saxifraga,granulata,L.,,,
934,Saxifraga hypnoides L.,species,,Saxifraga,hypnoides,L.,,,
937,Saxifraga caespitosa L.,species,,Saxifraga,caespitosa,L.,,,
937,Saxifraga adscendens L.,species,,Saxifraga,adscendens,L.,,,
942,Gentiana verna L.,species,,Gentiana,verna,L.,,,
942,Gentiana clusii Perr. & Song.,species,,Gentiana,clusii,Perr. & Song.,,,
942,Gentiana acaulis L.,species,,Gentiana,acaulis,L.,,,(= G. kochiana Perr. & Song.)
942,Gentiana lutea L,species,,Gentiana,lutea,L,,,
948,Gratiola officinalis L.,species,,Gratiola,officinalis,L.,,,
954,Gentiana lutea L.,species,,Gentiana,lutea,L.,,,
960,Nepeta nepetella L.,species,,Nepeta,nepetella,L.,,,
960,Nepeta agrestis Loisel.,species,,Nepeta,agrestis,Loisel.,,,
967,Thymus vulgaris L.,species,,Thymus,vulgaris,L.,,,
967,Scabiosa ochroleuca L.,species,,Scabiosa,ochroleuca,L.,,,
967,Scabiosa lucida Vill.,species,,Scabiosa,lucida,Vill.,,,
967,Knautia arvensis (L.),species,,Knautia,arvensis,(L.),,,
974,Centaurium erythraea Rafn.,species,,Centaurium,erythraea,Rafn.,,,(=C. minus Mï¿½nch)
974,Centaurium umbellatum Gilib.,species,,Centaurium,umbellatum,Gilib.,,,
974,Centaurium littoralis (D.Turner) Gilmour,species,,Centaurium,littoralis,(D.Turner) Gilmour,,,
974,Centaurium pulchellum,species,,Centaurium,pulchellum,,,,
974,Blackstonia perfoliata (L.) Hudson,species,,Blackstonia,perfoliata,(L.) Hudson,,,
974,Gentianella germanica Willd.,species,,Gentianella,germanica,Willd.,,,
974,Gentianella diemensis,species,,Gentianella,diemensis,,,,
974,Gentiana lutea,species,,Gentiana,lutea,,,,
974,Erythraea venusta A. Gray.,species,,Erythraea,venusta,A. Gray.,,,
974,Sopubia trifida,species,,Sopubia,trifida,,,,
974,Blumea balsamifera,species,,Blumea,balsamifera,,,,
1030,Veronicastrum sibricum Pennel var. japonicum Hara.,variety,,Veronicastrum,sibricum,Pennel,japonicum,Hara.,Probable
1048,Gentiana quinquefolia,species,,Gentiana,quinquefolia,,,,
1099,Bridelia tomentosa,species,,Bridelia,tomentosa,,,,
1106,Dimorphocalyx glabellus,species,,Dimorphocalyx,glabellus,,,,
1116,Vitis vinifera Linn.,species,,Vitis,vinifera,Linn.,,,
1118,Ampelopsis brevipedunculata Trautv.,species,,Ampelopsis,brevipedunculata,Trautv.,,,
1118,Cayratia japonica Gagn.,species,,Cayratia,japonica,Gagn.,,,
1118,Vitis thunbergi Sieb. & Zucc.,species,,Vitis,thunbergi,Sieb. & Zucc.,,,
1118,Vitis vinifera Linn.,species,,Vitis,vinifera,Linn.,,,
1118,Parthenocissus tricuspidata (Siebold & Zucc.),species,,Parthenocissus,tricuspidata,(Siebold & Zucc.),,,
1137,Astragalus,genus,,Astragalus,,,,,
1169,Stenandrium dulce (Cav.) Nees.,species,Asteraceae,Stenandrium,dulce,(Cav.) Nees.,,,Possible (=Geradia floridana)
1179,Pedicularis canadensis L.,species,,Pedicularis,canadensis,L.,,,
1183,Castilleia latofilia,species,,Castilleia,latofilia,,,,
1190,Castilleia lutescens,species,,Castilleia,lutescens,,,,
1192,Castilleia pinetorum,species,,Castilleia,pinetorum,,,,
1192,Castilleia parviflora,species,,Castilleia,parviflora,,,,
1198,Pentstemon cyananthus,species,,Pentstemon,cyananthus,,,,
1200,Castilleja lutescens Greenman.,species,,Castilleja,lutescens,Greenman.,,,
1260,Lantana hispida H.B.K.,species,,Lantana,hispida,H.B.K.,,,
1274,Stachys sylvatica L.,species,,Stachys,sylvatica,L.,,,
1274,Ononis natrix L.,species,,Ononis,natrix,L.,,,
1274,Ononis repens L.,species,,Ononis,repens,L.,,,
1274,Ononis spinosa L.,species,,Ononis,spinosa,L.,,,
1274,Mentha,genus,,Mentha,,,,,
1274,Salvia,genus,,Salvia,,,,,
1274,Euphrasia,genus,,Euphrasia,,,,,
1274,Teucrium scorodonia L.,species,,Teucrium,scorodonia,L.,,,
1274,Chenopodium,genus,,Chenopodium,,,,,
