nameID,referenceID,page,link,remarks
1486,9,338,,Original description
1496,9,342,,Original description
1330,9,355,,Original description
1304,9,365,,Original description
1474,9,368,,Original description
1305,9,371,,Original description
1331,9,375,,Original description
1320,9,376,,Original description
1311,9,377,,Original description
1301,9,378,,Original description
2614,14,5,https://www.biodiversitylibrary.org/page/33664319,Original description
2615,14,5,https://www.biodiversitylibrary.org/page/33664319,Original description
43,16,121,,Original description
2469,22,138,,Original description
111,21,179,,Original description
1264,24,25,,Original description
1503,24,29,,Original description
217,26,65,,Original description
1418,29,283,,Original description
1390,29,293,,Original description
1391,29,293,,Original description
210,32,310,,Original description
1753,34,66,,Original description
196,33,102,,Original description
142,33,103,,Original description
135,36,52,,Original description
2744,38,6,,Original description
178,37,51,,Original description
206,40,23,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,Original description
80,40,51,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,Original description
110,40,53,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,Original description
132,40,55,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,Original description
157,40,57,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,Original description
177,40,59,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,Original description
96,40,6,http://biblio.naturalsciences.be/rbins-publications/bulletin-of-the-royal-belgian-institute-of-natural-sciences/31-1955/irscnb_p4087_00df58p_31_bulletin-83-red.pdf,Original description
1464,41,22,,Original description
36,43,75,,Original description
167,43,75,,Original description
1685,44,55,,Original description
2562,44,55,,Original description
1296,45,29,,Original description
1517,45,29,,Original description
1526,45,30,,Original description
30,47,50,,Original description
590,48,6,,Original description
2668,48,6,,Original description
2286,50,15,,Original description
154,51,14,,Original description
2651,51,14,,Original description
1146,51,15,,Original description
1147,51,15,,Original description
144,61,151,,Original description
174,63,179,,Original description
97,62,3,,Original description
172,62,650,,Original description
51,64,205,,Original description
39,65,113,,Original description
156,67,62,,Original description
125,67,64,,Original description
212,67,65,,Original description
162,67,66,,Original description
44,66,7,,Original description
72,69,75,,Original description
91,69,77,,Original description
42,69,79,,Original description
2533,72,101,,Original description
2778,72,103,,Original description
2752,72,105,,Original description
2521,72,107,,Original description
2772,72,20,,Original description
2756,72,21,,Original description
2534,72,22,,Original description
2726,72,27,,Original description
2731,72,98,,Original description
59,73,51,,Original description
2762,74,204,,Original description
2217,75,10,,Original description
2306,75,11,,Original description
1898,75,13,,Original description
2223,75,9,,Original description
94,76,166,,Original description
329,76,167,,Original description
330,76,167,,Original description
2494,76,169,,Original description
2290,81,80,,Original description
55,79,189,,Original description
65,79,191,,Original description
164,79,192,,Original description
201,79,193,,Original description
319,82,175,,Original description
199,83,103,,Original description
118,85,16,,Original description
24,85,18,,Original description
152,85,19,,Original description
127,85,20,,Original description
222,85,20,,Original description
120,85,21,,Original description
90,87,65,,Original description
1487,88,66,,Original description
349,88,69,,Original description
1500,86,24,,Original description
1388,86,26,,Original description
1389,86,27,,Original description
2702,84,87,,Original description
324,89,276,,Original description
299,89,276,,Original description
312,89,276,,Original description
2228,92,327,,Original description
2676,90,84,,Original description
2640,90,86,,Original description
1329,91,158,,Original description
2708,99,128,,Original description
1256,99,18,,Original description
569,98,16,https://www.biodiversitylibrary.org/page/28745019,Original description
2253,97,101,,Original description
313,96,238,,Original description
308,96,242,,Original description
2173,94,98,,Original description
2526,100,65,,Original description
2531,100,67,,Original description
377,102,36,,Original description
386,102,37,,Original description
778,103,14,,Original description
856,103,14,,Original description
620,103,16,,Original description
2644,103,18,,Original description
2506,101,105,,Original description
2511,101,108,,Original description
311,104,15,,Original description
770,105,33,,Original description
1056,105,35,,Original description
1240,106,2,,Original description
2724,107,309,,Original description
2748,107,314,,Original description
2739,107,320,,Original description
1323,109,55,,Original description
265,110,138,https://www.biodiversitylibrary.org/page/14720330,Original description
350,111,250,,Original description
644,112,142,,Original description
198,112,212,,Original description
2595,112,45,,Original description
2757,112,84,,Original description
89,113,176,,Original description
116,113,177,,Original description
85,113,177,,Original description
31,113,178,,Original description
2808,113,82,,Original description
2653,115,355,,Original description
306,114,31,,Original description
54,116,81,,Original description
1354,121,306,,Original description
2312,120,281,,Original description
2207,120,282,,Original description
2218,117,297,,Original description
2539,126,32,,Original description
183,126,33,,Original description
216,128,37,,Original description
213,127,38,,Original description
1393,133,55,,Original description
1402,133,56,,Original description
1490,133,74,,Original description
1286,133,85,,Original description
101,130,608,,Original description
2240,134,209,,Original description
2230,134,210,,Original description
1920,129,59,,Original description
657,136,204,,Original description
2121,138,116,,Original description
2126,138,118,,Original description
595,139,69,,Original description
2745,140,9,,Original description
2212,141,62,,Original description
145,142,33,,Original description
163,144,82,,Original description
204,146,19,,Original description
70,146,20,,Original description
179,146,21,,Original description
63,146,21,,Original description
93,145,96,,Original description
181,147,76,,Original description
638,148,137,,Original description
1422,148,138,,Original description
2187,148,140,,Original description
69,151,263,,Original description
34,151,263,,Original description
2222,152,24,,Original description
924,153,466,,Original description
457,153,466,,Original description
2734,154,288,,Original description
2276,155,275,,Original description
103,155,276,,Original description
1009,164,278,,Original description
895,164,279,,Original description
952,160,70,,Original description
637,160,70,,Original description
985,160,73,,Original description
926,160,74,,Original description
134,162,448,,"Original description with imago, larva, pupa, male genitalia - female genitalia incorrect"
1128,178,827,,Original description
1282,176,289,,Original description
1387,176,304,,Original description
1852,176,330,,Original description
1882,176,337,,Original description
1677,176,346,,Original description
502,176,366,,Original description
530,176,370,,Original description
1198,176,389,,Original description
1154,176,394,,Original description
1012,176,395,,Original description
918,176,396,,Original description
765,176,397,,Original description
756,176,404,,Original description
982,176,405,,Original description
1005,176,406,,Original description
1115,176,406,,Original description
623,176,407,,Original description
907,176,408,,Original description
876,176,409,,Original description
662,176,411,,Original description
841,176,412,,Original description
704,176,413,,Original description
613,176,414,,Original description
888,176,426,,Original description
725,176,436,,Original description
762,176,436,,Original description
721,176,437,,Original description
1126,176,437,,Original description
998,176,438,,Original description
619,176,442,,Original description
33,176,447,,Original description
2356,177,185,,Original description
356,177,185,,Original description
1120,177,185,,Original description
2289,177,186,,Original description
866,186,56,,Original description
2382,197,283,,Original description
1088,197,284,,Original description
2804,198,42,,Original description
133,207,201,,Original description
2563,209,7,,Original description
2396,211,86,,Original description
81,214,9,,Original description
1432,218,178,,Original description
2188,217,113,,Original description
168,219,26,,Original description
1972,219,28,,Original description
1636,219,30,,Original description
1245,219,32,,Original description
1141,219,32,,Original description
1215,219,34,,Original description
893,219,34,,Original description
1143,219,35,,Original description
2692,219,35,,Original description
2737,224,179,,Original description
155,225,244,,Original description
73,226,168,,Original description
293,226,170,,Original description
373,226,176,,Original description
2420,226,180,,Original description
2423,226,180,,Original description
2797,226,182,,Original description
2803,226,183,,Original description
1737,226,191,,Original description
894,226,197,,Original description
520,226,198,,Original description
2694,226,202,,Original description
2631,226,204,,Original description
2660,226,204,,Original description
697,226,285,,Original description
376,228,761,,Original description
38,229,283,,Original description
190,230,224,,Original description
82,234,85,,Original description
541,233,701,,Original description
215,236,360,,Original description
1287,236,[35],,Original description
340,239,54,,Original description
1224,244,35,,Original description
2148,245,15,,Original description
258,245,16,,Original description
2502,245,16,,Original description
1649,247,387,,Original description
466,248,465,,Original description
505,253,242,,Original description
2627,253,242,,Original description
1341,280,15,,Original description
1342,281,47,,Original description
2568,282,122,,Original description
2279,258,21,,Original description
1838,260,[17],,Original description
1471,260,[17],,Original description
1285,260,[17],,Original description
1339,263,242,,Original description
1340,263,244,,Original description
1359,263,246,,Original description
1343,266,236,,Original description
2182,268,304,,Original description
2183,268,305,,Original description
32,269,434,,Original description
1458,269,438,,Original description
2572,269,440,,Original description
2260,269,70,,Original description
2261,269,71,,Original description
1016,270,410,,Original description
2184,271,95,,Original description
2221,271,96,,Original description
1544,276,292,,Original description
1263,276,294,,Original description
2456,276,296,,Original description
440,276,297,,Original description
1789,290,112,,Original description
708,305,123,,Original description
1096,315,91,,Original description
2519,315,91,,Original description
1350,316,700,https://www.biodiversitylibrary.org/page/8375621,Original description
1278,317,893,,Original description
28,317,893,https://www.biodiversitylibrary.org/page/8375814,Original description
2271,318,36,,Original description
2293,352,187,,Original description
1751,356,103,,Original description
2586,359,141,,Original description
2060,362,334,,Original description
1654,363,77,,Original description
1253,372,594,,Original description
1411,373,408,,Original description
2373,374,44,,Original description
2309,377,472,,Original description
1473,383,79,,Original description
1983,383,80,,Original description
1949,383,80,,Original description
1878,383,80,,Original description
381,383,80,,Original description
2059,383,81,,Original description
2750,383,81,,Original description
2556,383,81,,Original description
2514,383,81,,Original description
2582,383,83,,Original description
403,383,84,,Original description
428,383,84,,Original description
1260,383,85,https://www.biodiversitylibrary.org/page/12720934,Original description
965,383,86,,Original description
966,383,86,,Original description
744,383,86,,Original description
871,383,86,https://www.biodiversitylibrary.org/page/12720935,Original description
76,383,87,,Original description
109,383,88,,Original description
2468,386,30,,Original description
2467,386,4,,Original description
384,389,10,,Original description
784,398,11,,Original description
858,402,72,,Original description
418,405,178,,Original description
2259,408,318,,Original description
963,413,36,,Original description
2736,413,37,,Original description
1254,414,43,,Original description
105,415,124,,Original description
425,415,164,,Original description
2650,416,99,,Original description
1554,417,295,,Original description
140,418,462,,Original description
1495,419,338,,Original description
2560,420,231,,Original description
2583,420,232,,Original description
2584,421,243,,Original description
1509,426,97,,Original description
1508,427,16,,Original description
1499,435,193,,Original description
2743,437,14,,Original description
2461,438,54,,Original description
452,461,185,,Original description
442,461,185,,Original description
1979,472,145,,Original description
1696,472,145,,Original description
1326,472,145,,Original description
1932,472,146,,Original description
1664,472,146,,Original description
2542,472,146,,Original description
2686,472,146,,Original description
1978,472,320,,Original description
2192,472,320,,Original description
1445,472,320,,Original description
2602,472,320,,Original description
527,476,71,,Original description
2505,481,11,,Original description
1671,481,12,,Original description
1674,481,14,,Original description
2394,481,15,,Original description
2025,481,16,,Original description
910,481,18,,Original description
843,481,20,,Original description
1576,481,21,,Original description
1582,481,22,,Original description
1700,494,2,,Original description
553,495,6,,Original description
1235,499,659,https://www.biodiversitylibrary.org/page/9938032,Original description
2346,499,668,https://www.biodiversitylibrary.org/page/9938041,Original description
1183,499,670,https://www.biodiversitylibrary.org/page/9938043,Original description
2580,500,498,https://www.biodiversitylibrary.org/page/10355710,Original description
305,502,163,,Original description
1960,502,163,,Original description
367,505,249,,Original description
1619,510,442,,Original description
1912,511,228,,Original description
685,511,228,,Original description
551,511,228,,Original description
1904,527,347,,Original description
2305,527,348,,Original description
2476,531,609,,Original description
1407,533,346,,Original description
2463,533,348,,Original description
2565,542,13,,Original description
188,560,2,https://www.biodiversitylibrary.org/page/29013876,Original description
50,560,5,https://www.biodiversitylibrary.org/page/29013879,Original description
2229,567,13,,Original description
2341,567,14,,Original description
385,567,16,,Original description
1497,567,18,,Original description
2004,567,7,,Original description
2150,582,CXL: 47,https://www.biodiversitylibrary.org/page/1221397,Original description
653,582,CXL: 48,https://www.biodiversitylibrary.org/page/1221397,Original description
2415,582,CXL: 49,https://www.biodiversitylibrary.org/page/1221397,Original description
2333,582,CXL: 50,https://www.biodiversitylibrary.org/page/1221397,Original description
2380,582,CXL: 51,https://www.biodiversitylibrary.org/page/1221397,Original description
1813,582,CXL: 53,https://www.biodiversitylibrary.org/page/1221397,Original description
2390,582,CXL: 54,https://www.biodiversitylibrary.org/page/1221397,Original description
2387,582,CXL: 55,https://www.biodiversitylibrary.org/page/1221397,Original description
2674,582,CXL: 56,https://www.biodiversitylibrary.org/page/1221397,Original description
1608,582,CXL: 57,https://www.biodiversitylibrary.org/page/1221397,Original description
1570,582,CXL: 58,https://www.biodiversitylibrary.org/page/1221397,Original description
1740,582,CXL: 59,https://www.biodiversitylibrary.org/page/1221397,Original description
2039,582,CXL: 60,https://www.biodiversitylibrary.org/page/1221397,Original description
1166,585,87,https://www.biodiversitylibrary.org/page/27874987,Original description
749,585,95,https://www.biodiversitylibrary.org/page/27874986,Original description
767,585,95,https://www.biodiversitylibrary.org/page/27874986,Original description
1864,586,30,https://www.biodiversitylibrary.org/page/18485643,Original description
2723,586,36,https://www.biodiversitylibrary.org/page/18485649,Original description
1150,586,39,https://www.biodiversitylibrary.org/page/18485652,Original description
659,586,42,https://www.biodiversitylibrary.org/page/18485655,Original description
1037,586,50,https://www.biodiversitylibrary.org/page/18485663,Original description
2268,586,60,https://www.biodiversitylibrary.org/page/18485673,Original description
2204,586,61,https://www.biodiversitylibrary.org/page/18485674,Original description
1722,587,30,,Original description
1657,588,340,,Original description
788,591,141,,Original description
853,591,141,,Original description
1412,591,142,,Original description
1226,591,142,,Original description
1157,591,55,,Original description
1919,591,71,,Original description
1867,591,72,,Original description
791,591,73,,Original description
1156,591,73,,Original description
633,591,73,,Original description
1382,592,843,,Original description
1366,592,847,,Original description
1704,592,848,,Original description
1385,592,848,,Original description
547,592,848,,Original description
1705,592,849,,Original description
1161,592,849,,Original description
548,592,849,,Original description
1279,599,20,https://www.biodiversitylibrary.org/page/11165984,Original description
2671,598,284,,Original description
2454,601,23,,Original description
1541,601,25,,Original description
13,601,8,https://www.biodiversitylibrary.org/page/59021973,Original description
268,603,107,https://www.biodiversitylibrary.org/page/14720360,Original description
264,603,107,https://www.biodiversitylibrary.org/page/14720330,Original description
267,603,108,https://www.biodiversitylibrary.org/page/14720330,Original description
244,603,113,https://www.biodiversitylibrary.org/page/14720335,Original description
245,603,121,https://www.biodiversitylibrary.org/page/14720343,Original description
235,603,122,https://www.biodiversitylibrary.org/page/14720344,Original description
239,603,130,https://www.biodiversitylibrary.org/page/14720352,Original description
270,603,138,https://www.biodiversitylibrary.org/page/14720360,Original description
283,603,140,https://www.biodiversitylibrary.org/page/14720362,Original description
237,601,19,https://www.biodiversitylibrary.org/page/59021984,Original description
1970,604,400,,Original description
1642,604,401,,Original description
601,604,403,,Original description
1454,605,281,https://www.biodiversitylibrary.org/page/9948360,Original description
2828,1895,20,,New combination
2801,605,282,https://www.biodiversitylibrary.org/page/9948361,Original description
1470,605,346,,Original description
2128,605,347,,Original description
1337,617,13,,Original description
1929,617,23,,Original description
2124,618,607,,Original description
2499,620,1,,Original description
617,624,83,,Original description
1690,625,139,,Original description
2050,623,11,,Original description
1592,622,99,,Original description
2489,626,43,,Original description
2488,626,44,,Original description
2496,626,46,,Original description
2491,626,49,,Original description
2492,626,50,,Original description
2272,627,25,,Original description
1885,635,403,,Original description
1600,636,290,,Original description
1552,637,16,,Original description
1294,637,18,,Original description
1309,641,48,,Original description
1711,643,71,,Original description
2466,643,72,,Original description
1716,645,14,,Original description
1336,645,15,,Original description
298,648,81,,Original description
1862,649,155,,Original description
2607,657,2: 90,https://www.biodiversitylibrary.org/page/14716579,Original description
431,658,27,,Original description
2273,662,246,,Original description
2181,662,248,,Original description
1188,664,45,,Original description
2198,665,328,,Original description
2294,665,332,,Original description
2175,672,222,,Original description
2310,674,[13],,Original description
836,673,73,,Original description
423,678,[55],,Original description
2311,679,220,,Original description
528,679,373,,Original description
1310,681,73,,Original description
656,684,211,,Original description
1271,688,14,,Original description
2662,688,15,,Original description
2658,688,18,,Original description
2211,687,467,,Original description
2274,687,469,,Original description
1370,689,105,,Original description
511,689,108,,Original description
2200,690,195,,Original description
1976,692,424,,Original description
2320,692,426,,Original description
2168,692,430,,Original description
935,692,435,,Original description
9,693,10,https://stangeia.hobern.net/?p=71,Original description
1246,693,104,,Original description
1261,693,105,,Original description
1262,693,107,,Original description
1138,693,109,,Original description
1139,693,112,,Original description
1145,693,112,,Original description
1144,693,113,,Original description
503,693,116,,Original description
509,693,119,,Original description
1202,693,120,,Original description
1203,693,122,,Original description
582,693,123,,Original description
716,693,125,,Original description
915,693,127,,Original description
905,693,129,,Original description
475,693,130,,Original description
315,693,18,,Original description
2063,693,25,,Original description
1986,693,25,,Original description
2029,693,26,,Original description
2064,693,27,,Original description
2046,693,29,,Original description
2021,693,30,,Original description
2024,693,31,,Original description
1952,693,32,,Original description
1634,693,32,,Original description
1639,693,35,,Original description
1612,693,39,,Original description
1580,693,41,,Original description
1724,693,42,,Original description
1729,693,43,,Original description
2342,693,50,,Original description
2409,693,51,,Original description
2413,693,54,,Original description
1640,693,55,,Original description
1644,693,57,,Original description
368,693,62,,Original description
336,693,63,,Original description
337,693,66,,Original description
353,693,68,,Original description
375,693,70,,Original description
1392,693,75,,Original description
1433,693,77,,Original description
1367,693,78,,Original description
2815,693,82,,Original description
2798,693,82,,Original description
891,693,88,,Original description
1424,693,93,,Original description
2275,695,101,,Original description
2339,695,103,,Original description
1718,695,91,,Original description
2201,695,96,,Original description
2170,695,98,,Original description
2335,695,99,,Original description
1209,694,450,,Original description
1662,696,53,,Original description
2147,696,55,,Original description
1754,696,56,,Original description
1755,696,57,,Original description
220,697,418,,Original description
2006,697,422,,Original description
1577,697,424,,Original description
1865,697,425,,Original description
1555,697,425,,Original description
1906,697,427,,Original description
2169,697,430,,Original description
1344,697,432,,Original description
1298,697,434,,Original description
2758,697,437,,Original description
2738,697,438,,Original description
2569,697,440,,Original description
1029,697,443,,Original description
1032,698,106,,Original description
566,699,121,,Original description
2215,700,200,,Original description
2199,701,104,,Original description
834,702,123,,Original description
37,707,49,,Original description
322,710,285,,Original description
314,711,279,,Original description
309,711,279,,Original description
296,711,279,,Original description
1426,715,107,,Original description
124,717,114,,Original description
169,717,116,,Original description
1731,717,118,,Original description
1734,717,120,,Original description
2206,717,122,,Original description
2501,717,123,,Original description
321,716,294,,Original description
1063,720,21,,Original description
297,720,297,,Original description
1218,719,13,,Original description
318,719,132,,Original description
1787,719,15,,Original description
1795,719,18,,Original description
1785,719,20,,Original description
1780,719,21,,Original description
1758,719,23,,Original description
1774,719,24,,Original description
1765,719,25,,Original description
1790,719,28,,Original description
2094,719,33,,Original description
1975,719,37,,Original description
1957,719,38,,Original description
2070,719,39,,Original description
2083,719,43,,Original description
2091,719,45,,Original description
2095,719,48,,Original description
2074,719,49,,Original description
2073,719,51,,Original description
2076,719,52,,Original description
2108,719,53,,Original description
2084,719,55,,Original description
2370,719,60,,Original description
2362,719,63,,Original description
1834,719,68,,Original description
2639,719,7,,Original description
2669,719,7,,Original description
2696,719,7,,Original description
2598,719,70,,Original description
2599,719,71,,Original description
458,719,75,,Original description
1061,719,79,,Original description
643,719,81,,Original description
903,719,83,,Original description
901,719,86,,Original description
718,719,88,,Original description
610,719,89,,Original description
987,723,86,,Original description
690,723,86,,Original description
1666,724,98,,Original description
460,725,379,,Original description
447,725,382,,Original description
448,725,383,,Original description
485,725,383,,Original description
480,725,386,,Original description
456,725,387,,Original description
1361,726,16,,Original description
1805,726,36,,Original description
2402,726,40,,Original description
232,726,82,,Original description
2116,727,181,,Original description
2117,727,184,,Original description
2120,727,185,,Original description
2239,728,146,,Original description
2278,728,147,,Original description
983,729,100,,Original description
1072,729,100,,Original description
285,729,82,,Original description
1770,729,83,,Original description
1773,729,84,,Original description
1778,729,84,,Original description
1781,729,85,,Original description
1782,729,85,,Original description
1616,729,86,,Original description
1772,729,86,,Original description
1837,729,87,,Original description
2044,729,88,,Original description
1853,729,89,,Original description
2367,729,90,,Original description
2359,729,90,,Original description
2371,729,91,,Original description
2100,729,92,,Original description
1604,729,92,,Original description
2110,729,93,,Original description
2090,729,94,,Original description
2097,729,94,,Original description
2105,729,95,,Original description
809,729,96,,Original description
1018,729,96,,Original description
631,729,97,,Original description
939,729,97,,Original description
723,729,98,,Original description
768,729,98,,Original description
779,729,99,,Original description
1923,731,40,,Original description
102,734,241,,Original description
1572,740,85,,Original description
1611,740,87,,Original description
1973,740,89,,Original description
1804,738,149,,Original description
1808,738,151,,Original description
1816,738,155,,Original description
1985,739,306,,Original description
769,739,307,,Original description
747,739,307,,Original description
1051,739,308,,Original description
951,739,309,,Original description
925,739,309,,Original description
1064,739,310,,Original description
1027,739,310,,Original description
837,739,311,,Original description
479,739,311,,Original description
2784,743,58,,Original description
2410,743,58,,Original description
328,743,59,,Original description
2624,744,64,,Original description
2666,744,65,,Original description
2643,744,68,,Original description
2203,745,127,,Original description
1622,742,367,,Original description
1627,742,371,,Original description
1652,746,298,,Original description
240,749,353,,Original description
1829,749,356,,Original description
2158,749,357,,Original description
1130,749,358,,Original description
1091,749,367,,Original description
1131,749,368,,Original description
676,749,369,,Original description
849,749,369,,Original description
1314,750,410,,Original description
2017,750,413,,Original description
1959,750,414,,Original description
1624,750,415,,Original description
1825,750,416,,Original description
1067,750,421,,Original description
469,750,422,,Original description
2115,752,100,,Original description
2111,752,102,,Original description
2101,752,103,,Original description
2109,752,106,,Original description
2361,752,114,,Original description
2082,752,115,,Original description
2107,752,116,,Original description
1586,752,127,,Original description
1585,752,128,,Original description
1766,752,132,,Original description
1786,752,133,,Original description
1769,752,135,,Original description
1794,752,148,,Original description
1771,752,152,,Original description
1811,752,157,,Original description
286,752,18,,Original description
1395,752,186,,Original description
282,752,19,,Original description
1380,752,197,,Original description
1292,752,198,,Original description
269,752,20,,Original description
1270,752,201,,Original description
1421,752,205,,Original description
1396,752,206,,Original description
271,752,21,,Original description
2131,752,29,,Original description
1796,752,33,,Original description
1803,752,34,,Original description
2047,752,43,,Original description
2351,752,62,,Original description
2377,752,69,,Original description
2366,752,71,,Original description
2378,752,73,,Original description
2075,752,92,,Original description
2092,752,94,,Original description
2081,752,95,,Original description
2080,752,97,,Original description
2113,752,98,,Original description
2077,752,99,,Original description
2112,752,99,,Original description
123,755,44,,Original description
45,755,45,,Original description
294,755,45,,Original description
1917,755,46,,Original description
2241,755,47,,Original description
1371,755,48,,Original description
341,755,48,,Original description
1274,755,49,,Original description
1241,755,50,,Original description
750,755,51,,Original description
1849,753,3,,Original description
1870,753,4,,Original description
1895,753,5,,Original description
1909,753,6,,Original description
180,754,462,,Original description
2034,759,224,,Original description
2035,759,229,,Original description
